Video,Network Trace,Meshreduce_geo_with_stalls,Meshreduce_color_with_stalls
band2,tracep1,64.15963286713286,74.78052447552447
dance5,tracep1,67.2947633744856,87.36117283950617
office1,tracep1,68.25559925093634,81.37816479400749
pizza1,tracep1,68.67975609756097,77.23520325203252
toddler4,tracep1,68.22698591549295,85.08219718309859
band2,wifi-25,63.43407342657341,73.91431818181817
dance5,wifi-25,66.36069958847736,87.15268518518519
office1,wifi-25,67.66634831460675,80.86838951310861
pizza1,wifi-25,68.21089430894311,76.55463414634147
toddler4,wifi-25,67.24749295774647,84.51050704225354
